accession	human_gene_name	clade	subclade	zf_domains	other_domains	human_chr	branch_added	species	species_order	species_family	species_genus	chimpanzee	orangutan	macaque	baboon	marmoset	basal Primate	non-Primate	human gene status (transcript support, Gencode status, other notes)
NM_181786	HKR1			13	K	19.6		Homo_sapiens	Primates	Hominidae	Homo	present	present	present hand-assembled	present	present	present	present	well validated
NM_153688	ZFP1			8	K	solo		Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	present	present	present	well validated
NM_001083335	ZFP112			13	K	19.8		Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	present	present	present	well validated
NM_001297619	ZFP14			13	K	19.6		Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	present	present	present	validated
NM_020828	ZFP28			13	K	19.12		Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	present	present	present	well validated
NM_014898	ZFP30			12	K	19.6		Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	present	present	present	well validated
NM_001282515	ZFP37			12	K	solo		Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	present	present	present	well validated
NM_001109809	ZFP57			6	K	solo		Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	present	present	present	validated
NM_133466	ZFP82			12	K	19.6		Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present hand-assembled	present	present	present	well validated
NM_133458	ZFP90			13	K	solo		Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	present	present	present	well validated
NM_001136273	ZFP92			8	K	X.5		Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	present	present	present	weakly validated
NM_001321147	ZIK1			9	K	19.12	Basal	Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	present	present	absent	validated
NM_052882	ZIM3			10	K	19.12		Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	present	absent	present	validated
NM_015394	ZNF10			10	K	12.1		Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	present	present	present	validated
NM_173531	ZNF100			11	K	19.4	Simian	Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present hand-assembled	present	absent	absent	well validated
NM_033204	ZNF101			8	K	19.4	Simian	Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	present	absent	absent	well validated
NM_016220	ZNF107			16	K	7.3	Simian	Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	present	absent	absent	validated, KRAB domain out of frame in some transcripts but present ancestrally
NM_153608	ZNF114			3	K	solo		Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	present	present	present	validated
NM_015852	ZNF117			10	K	7.3	Catarrhine	Homo_sapiens	Primates	Hominidae	Homo	present	present	present hand-assembled	present hand-assembled	absent inc TA	absent	absent	validated, KRAB domain out of frame in some transcripts
NM_016265	ZNF12			15	K	7.1		Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	present	present	present	well validated
NM_003433	ZNF132			17	K	19.12		Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	present	present	present	validated
