taxon	sequenceID	pubmed_id	name	exogenous	locus
alignment/AL_HHV6A/member/ncbi-curated-hhv6a/FV537026	FV537026	-	Human betaherpesvirus 6A	false	-
alignment/AL_HHV6A/member/ncbi-curated-hhv6a/FV537027	FV537027	-	Human betaherpesvirus 6A	false	-
alignment/AL_HHV6A/member/ncbi-curated-hhv6a/FV537028	FV537028	-	Human betaherpesvirus 6A	false	-
alignment/AL_HHV6A/member/ncbi-curated-hhv6a/FV537029	FV537029	-	Human betaherpesvirus 6A	false	-
alignment/AL_HHV6A/member/ncbi-curated-hhv6a/KC465951	KC465951	23766398	Human betaherpesvirus 6A	false	-
alignment/AL_HHV6A/member/ncbi-curated-hhv6a/KJ123690	KJ123690	-	Human betaherpesvirus 6A	false	-
alignment/AL_HHV6A/member/ncbi-curated-hhv6a/KP257584	KP257584	8230490	Human betaherpesvirus 6A	false	-
alignment/AL_HHV6A/member/ncbi-curated-hhv6a/KT355575	KT355575	26947392	Human betaherpesvirus 6A	true	Chr19p
alignment/AL_HHV6A/member/ncbi-curated-hhv6a/KY316047	KY316047	-	Human betaherpesvirus 6A	false	-
alignment/AL_HHV6A/member/ncbi-curated-hhv6a/KY316048	KY316048	-	Human betaherpesvirus 6A	true	Chr17p
alignment/AL_HHV6A/member/ncbi-curated-hhv6a/KY316049	KY316049	-	Human betaherpesvirus 6A	true	Chr10q
alignment/AL_HHV6A/member/ncbi-curated-hhv6a/KY316054	KY316054	-	Human betaherpesvirus 6A	false	-
alignment/AL_HHV6A/member/ncbi-curated-hhv6a/KY316055	KY316055	-	Human betaherpesvirus 6A	false	-
alignment/AL_HHV6A/member/ncbi-curated-hhv6a/KY316056	KY316056	-	Human betaherpesvirus 6A	false	-
alignment/AL_HHV6A/member/ncbi-curated-hhv6a/MF994813	MF994813	-	Human betaherpesvirus 6A	false	-
alignment/AL_HHV6A/member/ncbi-curated-hhv6a/MF994815	MF994815	-	Human betaherpesvirus 6A	false	-
alignment/AL_HHV6A/member/ncbi-curated-hhv6a/MF994816	MF994816	-	Human betaherpesvirus 6A	false	-
alignment/AL_HHV6A/member/ncbi-curated-hhv6a/MF994817	MF994817	-	Human betaherpesvirus 6A	false	-
alignment/AL_HHV6A/member/ncbi-curated-hhv6a/MF994818	MF994818	-	Human betaherpesvirus 6A	false	-
alignment/AL_HHV6A/member/ncbi-curated-hhv6a/MF994819	MF994819	-	Human betaherpesvirus 6A	false	-
alignment/AL_HHV6A/member/ncbi-curated-hhv6a/MF994820	MF994820	-	Human betaherpesvirus 6A	false	-
alignment/AL_HHV6A/member/ncbi-curated-hhv6a/MF994822	MF994822	-	Human betaherpesvirus 6A	false	-
alignment/AL_HHV6A/member/ncbi-curated-hhv6a/MF994828	MF994828	-	Human betaherpesvirus 6A	false	-
alignment/AL_HHV6A/member/ncbi-curated-hhv6a/MG894370	MG894370	29472617	Human betaherpesvirus 6A	false	-
alignment/AL_HHV6A/member/ncbi-curated-hhv6a/MG894371	MG894371	29472617	Human betaherpesvirus 6A	true	Chr19p
alignment/AL_HHV6A/member/ncbi-curated-hhv6a/MG894374	MG894374	29472617	Human betaherpesvirus 6A	false	-
alignment/AL_HHV6A/member/ncbi-curated-hhv6a/MH698400	MH698400	-	Human betaherpesvirus 6A	false	-
alignment/AL_HHV6A/member/ncbi-curated-hhv6a/MH698403	MH698403	-	Human betaherpesvirus 6A	false	-
alignment/AL_HHV6A/member/ncbi-curated-hhv6a/MK630133	MK630133	-	Human betaherpesvirus 6A	false	-
alignment/AL_HHV6A/member/ncbi-curated-hhv6a/MK630134	MK630134	-	Human betaherpesvirus 6A	false	-
alignment/AL_HHV6A/member/ncbi-curated-hhv6a/X83413	X83413	2543772	Human betaherpesvirus 6A	false	-
