taxon	sequenceID	pubmed_id	name	exogenous	locus	isolate	country	collection_year
alignment/AL_HHV6B/member/ncbi-curated-hhv6b/AB021506	AB021506	10482554	Human betaherpesvirus 6B	false	-	HST	-	-
alignment/AL_HHV6B/member/ncbi-curated-hhv6b/DD138891	DD138891	-	Human betaherpesvirus 6B	false	-	-	-	-
alignment/AL_HHV6B/member/ncbi-curated-hhv6b/DJ052726	DJ052726	-	Human betaherpesvirus 6B	false	-	-	-	-
alignment/AL_HHV6B/member/ncbi-curated-hhv6b/DL242080	DL242080	-	Human betaherpesvirus 6B	false	-	-	-	-
alignment/AL_HHV6B/member/ncbi-curated-hhv6b/KY316030	KY316030	-	Human betaherpesvirus 6B	false	-	ORCA3835	United Kingdom: Orkney	-
alignment/AL_HHV6B/member/ncbi-curated-hhv6b/KY316031	KY316031	-	Human betaherpesvirus 6B	false	-	ORCA1622	United Kingdom: Orkney	-
alignment/AL_HHV6B/member/ncbi-curated-hhv6b/KY316032	KY316032	-	Human betaherpesvirus 6B	false	-	ORCA1340	United Kingdom: Orkney	-
alignment/AL_HHV6B/member/ncbi-curated-hhv6b/KY316033	KY316033	-	Human betaherpesvirus 6B	false	-	LEI-ALD	United Kingdom	-
alignment/AL_HHV6B/member/ncbi-curated-hhv6b/KY316034	KY316034	-	Human betaherpesvirus 6B	false	-	HGDP01077	Italy: Sardinia	-
alignment/AL_HHV6B/member/ncbi-curated-hhv6b/KY316035	KY316035	-	Human betaherpesvirus 6B	false	-	HGDP01065	Italy: Sardinia	-
alignment/AL_HHV6B/member/ncbi-curated-hhv6b/KY316036	KY316036	-	Human betaherpesvirus 6B	false	-	HGDP00813	China: Han	-
alignment/AL_HHV6B/member/ncbi-curated-hhv6b/KY316037	KY316037	-	Human betaherpesvirus 6B	true	Chr15q	HGDP00092	Pakistan: Balochi	-
alignment/AL_HHV6B/member/ncbi-curated-hhv6b/KY316038	KY316038	-	Human betaherpesvirus 6B	false	-	HAPMAP_NA10863	USA: Utah	-
alignment/AL_HHV6B/member/ncbi-curated-hhv6b/KY316039	KY316039	-	Human betaherpesvirus 6B	false	-	HAPMAP NA7022	USA: Utah	-
alignment/AL_HHV6B/member/ncbi-curated-hhv6b/KY316040	KY316040	-	Human betaherpesvirus 6B	false	-	DER512	United Kingdom: England, Derbyshire	-
alignment/AL_HHV6B/member/ncbi-curated-hhv6b/KY316041	KY316041	-	Human betaherpesvirus 6B	false	-	CUM082	United Kingdom: England, Cumbria	-
alignment/AL_HHV6B/member/ncbi-curated-hhv6b/KY316042	KY316042	-	Human betaherpesvirus 6B	false	-	COR264	United Kingdom: England, Cornwall	-
