taxon	sequenceID	pubmed_id	name	exogenous	locus
alignment/AL_HHV6B/member/ncbi-curated-hhv6b/AB021506	AB021506	10482554	Human betaherpesvirus 6B	false	-
alignment/AL_HHV6B/member/ncbi-curated-hhv6b/DD138891	DD138891	-	Human betaherpesvirus 6B	false	-
alignment/AL_HHV6B/member/ncbi-curated-hhv6b/DJ052726	DJ052726	-	Human betaherpesvirus 6B	false	-
alignment/AL_HHV6B/member/ncbi-curated-hhv6b/DL242080	DL242080	-	Human betaherpesvirus 6B	false	-
alignment/AL_HHV6B/member/ncbi-curated-hhv6b/FV537030	FV537030	-	Human betaherpesvirus 6B	false	-
alignment/AL_HHV6B/member/ncbi-curated-hhv6b/FV537031	FV537031	-	Human betaherpesvirus 6B	false	-
alignment/AL_HHV6B/member/ncbi-curated-hhv6b/FV537032	FV537032	-	Human betaherpesvirus 6B	false	-
alignment/AL_HHV6B/member/ncbi-curated-hhv6b/FV537033	FV537033	-	Human betaherpesvirus 6B	false	-
alignment/AL_HHV6B/member/ncbi-curated-hhv6b/KY316030	KY316030	-	Human betaherpesvirus 6B	false	-
alignment/AL_HHV6B/member/ncbi-curated-hhv6b/KY316031	KY316031	-	Human betaherpesvirus 6B	false	-
alignment/AL_HHV6B/member/ncbi-curated-hhv6b/KY316032	KY316032	-	Human betaherpesvirus 6B	false	-
alignment/AL_HHV6B/member/ncbi-curated-hhv6b/KY316033	KY316033	-	Human betaherpesvirus 6B	false	-
alignment/AL_HHV6B/member/ncbi-curated-hhv6b/KY316034	KY316034	-	Human betaherpesvirus 6B	false	-
alignment/AL_HHV6B/member/ncbi-curated-hhv6b/KY316035	KY316035	-	Human betaherpesvirus 6B	false	-
alignment/AL_HHV6B/member/ncbi-curated-hhv6b/KY316036	KY316036	-	Human betaherpesvirus 6B	false	-
alignment/AL_HHV6B/member/ncbi-curated-hhv6b/KY316037	KY316037	-	Human betaherpesvirus 6B	true	Chr15q
alignment/AL_HHV6B/member/ncbi-curated-hhv6b/KY316038	KY316038	-	Human betaherpesvirus 6B	false	-
alignment/AL_HHV6B/member/ncbi-curated-hhv6b/KY316039	KY316039	-	Human betaherpesvirus 6B	false	-
alignment/AL_HHV6B/member/ncbi-curated-hhv6b/KY316040	KY316040	-	Human betaherpesvirus 6B	false	-
alignment/AL_HHV6B/member/ncbi-curated-hhv6b/KY316041	KY316041	-	Human betaherpesvirus 6B	false	-
alignment/AL_HHV6B/member/ncbi-curated-hhv6b/KY316042	KY316042	-	Human betaherpesvirus 6B	false	-
alignment/AL_HHV6B/member/ncbi-curated-hhv6b/KY316043	KY316043	-	Human betaherpesvirus 6B	false	-
alignment/AL_HHV6B/member/ncbi-curated-hhv6b/KY316044	KY316044	-	Human betaherpesvirus 6B	true	Ch11p
alignment/AL_HHV6B/member/ncbi-curated-hhv6b/KY316045	KY316045	-	Human betaherpesvirus 6B	false	-
alignment/AL_HHV6B/member/ncbi-curated-hhv6b/KY316046	KY316046	-	Human betaherpesvirus 6B	false	-
alignment/AL_HHV6B/member/ncbi-curated-hhv6b/KY316050	KY316050	-	Human betaherpesvirus 6B	false	-
alignment/AL_HHV6B/member/ncbi-curated-hhv6b/KY316051	KY316051	-	Human betaherpesvirus 6B	false	-
alignment/AL_HHV6B/member/ncbi-curated-hhv6b/KY316052	KY316052	-	Human betaherpesvirus 6B	false	-
alignment/AL_HHV6B/member/ncbi-curated-hhv6b/KY316053	KY316053	-	Human betaherpesvirus 6B	false	-
alignment/AL_HHV6B/member/ncbi-curated-hhv6b/MF994814	MF994814	-	Human betaherpesvirus 6B	false	-
alignment/AL_HHV6B/member/ncbi-curated-hhv6b/MF994821	MF994821	-	Human betaherpesvirus 6B	false	-
alignment/AL_HHV6B/member/ncbi-curated-hhv6b/MF994823	MF994823	-	Human betaherpesvirus 6B	false	-
alignment/AL_HHV6B/member/ncbi-curated-hhv6b/MF994824	MF994824	-	Human betaherpesvirus 6B	false	-
alignment/AL_HHV6B/member/ncbi-curated-hhv6b/MF994825	MF994825	-	Human betaherpesvirus 6B	false	-
alignment/AL_HHV6B/member/ncbi-curated-hhv6b/MF994826	MF994826	-	Human betaherpesvirus 6B	false	-
alignment/AL_HHV6B/member/ncbi-curated-hhv6b/MF994827	MF994827	-	Human betaherpesvirus 6B	false	-
alignment/AL_HHV6B/member/ncbi-curated-hhv6b/MF994829	MF994829	-	Human betaherpesvirus 6B	false	-
alignment/AL_HHV6B/member/ncbi-curated-hhv6b/MG894368	MG894368	29472617	Human betaherpesvirus 6B	true	Chr19p
alignment/AL_HHV6B/member/ncbi-curated-hhv6b/MG894369	MG894369	29472617	Human betaherpesvirus 6B	false	-
alignment/AL_HHV6B/member/ncbi-curated-hhv6b/MG894372	MG894372	29472617	Human betaherpesvirus 6B	false	-
alignment/AL_HHV6B/member/ncbi-curated-hhv6b/MG894373	MG894373	29472617	Human betaherpesvirus 6B	true	Chr3q
alignment/AL_HHV6B/member/ncbi-curated-hhv6b/MG894375	MG894375	29472617	Human betaherpesvirus 6B	true	Ch1q
alignment/AL_HHV6B/member/ncbi-curated-hhv6b/MG894376	MG894376	29472617	Human betaherpesvirus 6B	true	Ch1q
alignment/AL_HHV6B/member/ncbi-curated-hhv6b/MH698398	MH698398	-	Human betaherpesvirus 6B	false	-
alignment/AL_HHV6B/member/ncbi-curated-hhv6b/MH698399	MH698399	-	Human betaherpesvirus 6B	false	-
alignment/AL_HHV6B/member/ncbi-curated-hhv6b/MH698401	MH698401	-	Human betaherpesvirus 6B	false	-
alignment/AL_HHV6B/member/ncbi-curated-hhv6b/MH698402	MH698402	-	Human betaherpesvirus 6B	false	-
alignment/AL_HHV6B/member/ncbi-curated-hhv6b/MN242397	MN242397	-	Human betaherpesvirus 6B	false	-
