accession-ID	virus_name	virus_full_name	host_species	virus_subfamily	virus_genus	virus_clade
NC_001701	GPV	Goose parvovirus	Anser anser	Parvovirinae	Dependoparvovirus	Avian
NC_006147	MDPV	Muscovy duck parvovirus	Cairina moschata	Parvovirinae	Dependoparvovirus	Avian
DQ335246	CAV	Caprine adeno-associated virus	Capra hircus	Parvovirinae	Dependoparvovirus	CAV
NC_002077	AAV1	Adeno-associated virus 1	Homo sapiens	Parvovirinae	Dependoparvovirus	AAV_primate
LY408697	AAV10	Adeno-associated virus 11	Homo sapiens	Parvovirinae	Dependoparvovirus	AAV_primate
AY631966	AAV11	Adeno-associated virus 11	Homo sapiens	Parvovirinae	Dependoparvovirus	AAV_primate
DQ813647	AAV12	Adeno-associated virus 12	Homo sapiens	Parvovirinae	Dependoparvovirus	AAV_primate
NC_001401	AAV2	Adeno-associated virus 2	Homo sapiens	Parvovirinae	Dependoparvovirus	AAV_primate
NC_001729	AAV3	Adeno-associated virus 3	Homo sapiens	Parvovirinae	Dependoparvovirus	AAV_primate
AF028705	AAV3B	Adeno-associated virus 3B	Homo sapiens	Parvovirinae	Dependoparvovirus	AAV_primate
NC_001829	AAV4	Adeno-associated virus 4	Homo sapiens	Parvovirinae	Dependoparvovirus	AAV_primate
NC_006152	AAV5	Adeno-associated virus 5	Homo sapiens	Parvovirinae	Dependoparvovirus	AAV5
AF028704	AAV6	Adeno-associated virus 6	Homo sapiens	Parvovirinae	Dependoparvovirus	AAV_primate
NC_006260	AAV7	Adeno-associated virus 7	Homo sapiens	Parvovirinae	Dependoparvovirus	AAV_primate
NC_006261	AAV8	Adeno-associated virus 8	Homo sapiens	Parvovirinae	Dependoparvovirus	AAV_primate
AX753250	AAV9	Adeno-associated virus 9	Homo sapiens	Parvovirinae	Dependoparvovirus	AAV_primate
NC_027429	BdrPV	Bearded dragon parvovirus strain 2014	Homo sapiens	Parvovirinae	Dependoparvovirus	Reptile
AY243022	NHP-AAV-type1	NHP Adeno-associated virus type 1	Macaca mulatta	Parvovirinae	Dependoparvovirus	AAV_primate
AY243021	NHP-AAV-type2	NHP Adeno-associated virus type 2	Macaca mulatta	Parvovirinae	Dependoparvovirus	AAV_primate
AY243002	NHP-AAV11	NHP Adeno-associated virus 11	Macaca mulatta	Parvovirinae	Dependoparvovirus	AAV_primate
KT984498	NHP-AAV6	NHP Adeno-associated virus 6	Macaca mulatta	Parvovirinae	Dependoparvovirus	AAV_primate
MF416383	Mouse-AAV1	Mouse adeno associated virus 1	Mus musculus	Parvovirinae	Dependoparvovirus	
MF416384	Mouse-AAV2	Mouse adeno associated virus 2	Mus musculus	Parvovirinae	Dependoparvovirus	
NC_006148	SnakePV	Snake parvovirus 1	Python regius	Parvovirinae	Dependoparvovirus	Reptile
NC_004828	AvAAV-atcc	Avian adeno-associated virus ATCC VR-865		Parvovirinae	Dependoparvovirus	
NC_005889	BAAV	Bovine adeno-associated virus		Parvovirinae	Dependoparvovirus	
NC_006263	AvAAV-da1	Avian adeno-associated virus strain DA-1		Parvovirinae	Dependoparvovirus	
NC_014468	AAV-bat	Bat adeno-associated virus YNM		Parvovirinae	Dependoparvovirus	
NC_038539	AAV-sealion	California sea lion adeno-associated virus 1		Parvovirinae	Dependoparvovirus	
NC_040671	AvAAV-mhh	Avian adeno-associated virus isolate MHH-05-2015		Parvovirinae	Dependoparvovirus	
