referenceName	featureName	startNT	endNT
REF_AAV2	NS	321	2252
REF_AAV2	VP	2203	4410
REF_AAV3	NS	318	2192
REF_AAV3	VP	2209	4419
REF_AAV4	NS	372	2243
REF_AAV4	VP	2260	4464
REF_AAV5	NS	359	2191
REF_AAV5	VP	2207	4381
REF_AAV6	NS	320	2191
REF_AAV6	VP	2208	4418
REF_AAV7	NS	334	2205
REF_AAV7	VP	2222	4435
REF_AAV8	NS	227	2104
REF_AAV8	VP	2121	4337
REF_AAV9	NS	228	2099
REF_AAV9	VP	2116	4329
REF_AAV10	NS	1	1869
REF_AAV10	VP	1886	4102
REF_AAV11	NS	1	1869
REF_AAV11	VP	1886	4087
REF_AAV12	NS	103	1968
REF_AAV12	VP	1985	4213
REF_SnakePV	NS	324	2012
REF_SnakePV	VP	2030	4210
REF_CAV	NS	347	2179
REF_CAV	VP	2195	4375
REF_GPV	NS	537	2420
REF_GPV	VP	2439	4637
REF_MDPV	NS	548	2431
REF_MDPV	VP	2450	4648
REF_AAV1	NS	335	2206
REF_AAV1	VP	2223	4433
